"MPRL table v3.0"
"TableName";;"RHS"
"TableID";"08a6f5f1-45bc-4387-92d3-0108e03b2d46"
"TableType";"CrossSection"
"Group";"#LNG006"
"TableParam1";"RectangularHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"B";"D";"t";"r1";"Fabrication";"A";"ry";"rz";"Iy";"Iz";"Wely";"Welz";"Iyz";"It";"y0";"z0";"Wply";"Wplz";"Iw";"Avy";"Avz"
"Unit";;"mm";"mm";"mm";"mm";;"m2";"m";"m";"m4";"m4";"m3";"m3";"m4";"m4";"m";"m";"m3";"m3";"m6";"m2";"m2"
"UnitCoeff";;0,001;0,001;0,001;0,001;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Data"
"RHS200/100/5.0";"{09140fba-d169-4e94-b529-4faf86c7857f}";100;200;5;7,5;1;0,00287;0,0721738126570121;0,0419473703768556;1,495E-05;5,05E-06;0,000149;0,000101;-1,35525271560688E-20;1,204E-05;0;0;0,000183509;0,0001131550390625;2,5E-08;0,000956666666666666;0,00191333333333333
"RHS200/100/6.3";"{7d3277b3-c961-493a-a483-8c682f01a099}";100;200;6,30000019073486;9,44999980926514;1;0,00358;0,0714768392382178;0,041379832077877;1,829E-05;6,13E-06;0,000183;0,000123;-6,7762635780344E-21;1,475E-05;0;0;0,0002259431875;0,00013881921875;3,15000009536743E-08;0,00119333333333333;0,00238666666666667
"RHS200/100/8.0";"{0e1627fe-c460-47ea-9ebe-3294f978976d}";100;200;8;12;1;0,00448;0,0706159128161433;0,0406146964955861;2,234E-05;7,39E-06;0,000223;0,000148;-5,75982404132924E-20;1,804E-05;0;0;0,0002782455;0,00017013934375;4E-08;0,00149333333333333;0,00298666666666667
"RHS200/100/10.0";"{989e02f7-ae8e-49ae-89e0-af2a374290f3}";100;200;10;15;1;0,00549;0,0696595938575114;0,0397853988283031;2,664E-05;8,69E-06;0,000266;0,000174;2,15993401549847E-19;2,156E-05;0;0;0,0003352403125;0,0002038244375;5E-08;0,00183;0,00366
"RHS200/100/12.5";"{b852f41d-7269-4183-829d-a3233c6f1bbf}";100;200;12,5;18,75;1;0,00671;0,0683638900334578;0,038681703912647;3,136E-05;1,004E-05;0,000314;0,000201;-2,73168125489512E-20;2,541E-05;0;0;0,0003997538125;0,00024129153125;6,25E-08;0,00223666666666667;0,00447333333333333
"RHS200/100/16.0";"{2be8a731-d43d-4a25-b28d-3d61d812e43f}";100;200;16;24;1;0,0083;0,0665682003752904;0,0371742883031185;3,678E-05;1,147E-05;0,000368;0,000229;1,43572084559604E-19;2,982E-05;0;0;0,00047791475;0,00028549009375;8E-08;0,00276666666666667;0,00553333333333333
"RHS200/120/5.0";"{38f83611-375f-4258-89c7-4bc778f84b5d}";120;200;5;7,5;1;0,00307;0,074085081821742;0,0498205247920347;1,685E-05;7,62E-06;0,000168;0,000127;3,04931861011548E-20;1,648E-05;0;0;0,000203009;0,000142725828125;3,84E-08;0,00115125;0,00191875
"RHS200/120/6.3";"{cbc8f10a-63b8-4f50-a427-c7d963268c5d}";120;200;6,30000019073486;9,44999980926514;1;0,00383;0,0734278210804065;0,0492502534751135;2,065E-05;9,29E-06;0,000207;0,000155;8,470329472543E-22;2,028E-05;0;0;0,000250349375;0,00017561021875;4,83840014648438E-08;0,00143625;0,00239375
"RHS200/120/8.0";"{6a0eb765-e47c-4d7d-a317-ca7b01bfef49}";120;200;8;12;1;0,0048;0,0725861557047899;0,0484767985741633;2,529E-05;1,128E-05;0,000253;0,000188;2,72744609015885E-19;2,495E-05;0;0;0,0003089655;0,000216080578125;6,144E-08;0,0018;0,003
"RHS200/120/10.0";"{90b98242-3e28-4790-8aea-104cc2059239}";120;200;10;15;1;0,00589;0,0716765039773207;0,0476439824764253;3,026E-05;1,337E-05;0,000303;0,000223;-1,43995601033231E-20;3,001E-05;0;0;0,0003732403125;0,000260107609375;7,68E-08;0,00220875;0,00368125
