"MPRL table v3.0"
"TableName";;"CHS(cf)"
"TableID";"d650366d-00e6-48bb-8fce-d9af5d3d7387"
"TableType";"CrossSection"
"Group";"#LNG003"
"TableParam1";"CircularHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"D";"t";"Fabrication"
"Unit";;"mm";"mm";
"CHS(cf)193.7/10.0";"{acb044a1-a09f-49bf-a82d-c1d9950daed3}";193,699996948242;10;3
"CHS(cf)193.7/12.0";"{5ac4c3e7-f508-4706-91b8-1af60698d936}";193,699996948242;12;3
"CHS(cf)193.7/12.5";"{45302862-7c75-49bd-97e6-292216c1c8c2}";193,699996948242;12,5;3
"CHS(cf)219.1/4.0";"{ebbe5050-a4d4-46bd-8e69-aecb41ccd066}";219,100006103516;4;3
"CHS(cf)219.1/5.0";"{32a00db6-fd28-417f-90bc-a97e3422f7fc}";219,100006103516;5;3
"CHS(cf)219.1/6.0";"{3e99f521-fd08-4f33-840d-0fb3e173be68}";219,100006103516;6;3
"CHS(cf)219.1/6.3";"{3000b1cc-a55f-46e2-9709-8ed62afe1bdd}";219,100006103516;6,30000019073486;3
"CHS(cf)219.1/8.0";"{f420817c-8e73-41cd-be94-d9f34a0f3ff7}";219,100006103516;8;3
"CHS(cf)219.1/10.0";"{5897efa7-72cb-4f9a-a35a-d81e5a552295}";219,100006103516;10;3
"CHS(cf)219.1/12.0";"{7c5c6649-40e7-430a-ba66-2072cf128ef5}";219,100006103516;12;3
"CHS(cf)219.1/12.5";"{d1d939de-f1f0-495e-b314-ed2a1e9c0316}";219,100006103516;12,5;3
"CHS(cf)244.5/5.0";"{3cf5a33f-f16d-4a75-975f-9497a8f5cab0}";244,5;5;3
"CHS(cf)244.5/6.0";"{3736d6fb-fab1-49e0-92a5-99b6a9bf5236}";244,5;6;3
"CHS(cf)244.5/6.3";"{bb5d39e9-af93-4e8a-bc02-c001f9677bb3}";244,5;6,30000019073486;3
"CHS(cf)244.5/8.0";"{44489b5c-8fcb-4bdc-a328-0a5d5e2d4fcb}";244,5;8;3
"CHS(cf)244.5/10.0";"{c09f5744-09fa-4093-93b5-2a62e0df828c}";244,5;10;3
"CHS(cf)244.5/12.0";"{f39ac965-a9d3-4e5f-b92e-85fb0824ffff}";244,5;12;3
"CHS(cf)244.5/12.5";"{1a053933-d03e-4e75-aed0-e82c48c239b4}";244,5;12,5;3
"CHS(cf)273.0/5.0";"{ed614623-5993-46c8-8fd9-a4162592a9d9}";273;5;3
"CHS(cf)273.0/6.0";"{f7b30862-7fa9-4b9c-a8ce-081ec1acb244}";273;6;3
"CHS(cf)273.0/6.3";"{c76c1172-2dbd-4a9e-8473-6ea1d6d0fa57}";273;6,30000019073486;3
"CHS(cf)273.0/8.0";"{af4033b9-561a-41b0-b98d-bc33f6b2f8e4}";273;8;3
"CHS(cf)273.0/10.0";"{df8ec0d4-0176-453a-b223-a9691571628d}";273;10;3
"CHS(cf)273.0/12.0";"{4643a655-3033-4bdf-bcc5-ce649c6d9b39}";273;12;3
"CHS(cf)273.0/12.5";"{9910a107-f45e-46e0-adf7-4cfee3621a04}";273;12,5;3
"CHS(cf)323.9/5.0";"{c1c8587a-a9c0-4dd8-af83-71beebb74aec}";323,899993896484;5;3
"CHS(cf)323.9/6.0";"{2cef1d0f-3166-48cb-a23a-b0d2a4781802}";323,899993896484;6;3
"CHS(cf)323.9/6.3";"{a76e0993-5765-49d3-bd58-0aba4548eafb}";323,899993896484;6,30000019073486;3
"CHS(cf)323.9/8.0";"{a33b7e89-1e24-4cdf-9644-3cc45f81c468}";323,899993896484;8;3
"CHS(cf)323.9/10.0";"{a26a60bd-ac3c-4a0a-9905-74cef6830ef4}";323,899993896484;10;3
"CHS(cf)323.9/12.0";"{aaf8fdb3-3a3f-46de-98c7-ed30bbbfbd2a}";323,899993896484;12;3
"CHS(cf)323.9/12.5";"{d1f8d3c2-dc8e-4c5e-a6d3-9c05ee3d516d}";323,899993896484;12,5;3
"CHS(cf)355.6/5.0";"{d7c6bfc9-e8d1-48b9-850b-9fa29c1b961f}";355,600006103516;5;3
"CHS(cf)355.6/6.0";"{7a3da7c3-f9f0-4a1d-8bb2-c3ddc0453f18}";355,600006103516;6;3
"CHS(cf)355.6/6.3";"{79472278-5f87-40ab-bd30-952c4cb2b66a}";355,600006103516;6,30000019073486;3
"CHS(cf)355.6/8.0";"{0808173b-4eda-4c2d-a475-fa223524a495}";355,600006103516;8;3
"CHS(cf)355.6/10.0";"{da73343a-f278-4394-9ffe-871541c2df2c}";355,600006103516;10;3
"CHS(cf)355.6/12.0";"{d01bd253-e2f9-4147-870b-a90a6b370fc3}";355,600006103516;12;3
"CHS(cf)355.6/12.5";"{0451d11f-f7e4-49c7-83bd-e11737b20ddd}";355,600006103516;12,5;3
"CHS(cf)355.6/16.0";"{0c8383af-413c-4e23-a6e3-a2ed09c3b82c}";355,600006103516;16;3
"CHS(cf)355.6/20.0";"{b76e53c6-03a8-41b6-9bad-c0e3b484f585}";355,600006103516;20;3
"CHS(cf)406.4/6.0";"{38129412-8451-4ed0-bd68-475225f571c2}";406,399993896484;6;3
"CHS(cf)406.4/6.3";"{6dee9d7c-8e7d-48d2-8389-1a4694adf987}";406,399993896484;6,30000019073486;3
"CHS(cf)406.4/8.0";"{268c6444-f71e-45d4-8ce9-d458fbbf9047}";406,399993896484;8;3
"CHS(cf)406.4/10.0";"{1cf062a9-4379-4c60-b598-532795d8764d}";406,399993896484;10;3
"CHS(cf)406.4/12.0";"{0401a08f-20ae-4c22-8281-6b073ca3c092}";406,399993896484;12;3
"CHS(cf)406.4/12.5";"{ed2df085-a848-4e1c-be90-5ce4d2bcb5a5}";406,399993896484;12,5;3
"CHS(cf)406.4/16.0";"{ab71c40c-f687-4cc3-9116-af166c62a3d1}";406,399993896484;16;3
"CHS(cf)406.4/20.0";"{e15498bd-5f6f-47a6-9c9b-9a0633d3aa08}";406,399993896484;20;3
"CHS(cf)406.4/25.0";"{958b4697-8a53-4143-91e2-09d6306b8b4c}";406,399993896484;25;3
"CHS(cf)457.0/6.0";"{9d46457e-c830-43b3-9aad-c5fcb0737516}";457;6;3
"CHS(cf)457.0/6.3";"{17022b1c-24d4-4994-a153-6f59ce44332e}";457;6,30000019073486;3
"CHS(cf)457.0/8.0";"{549d052d-22e5-4355-8e72-193f059a570e}";457;8;3
"CHS(cf)457.0/10.0";"{e7bbfc35-ecdf-467d-b5ea-b08b723f69de}";457;10;3
"CHS(cf)457.0/12.0";"{00379d89-14e3-48ac-b15b-74f8b162f321}";457;12;3
"CHS(cf)457.0/12.5";"{d06bd9ad-547b-4a13-a771-268c0dbb7ed9}";457;12,5;3
"CHS(cf)457.0/16.0";"{c4acb9fe-cc83-4a7d-8df9-a2658546efd2}";457;16;3
"CHS(cf)457.0/20.0";"{03e98399-8cb1-414f-9286-2093d1f9b3da}";457;20;3
"CHS(cf)457.0/25.0";"{2d98e4ae-0b6c-4355-ae8a-583b8e48a267}";457;25;3
"CHS(cf)457.0/30.0";"{c8e8662e-fe07-4ed2-ad37-8323d4b71eb5}";457;30;3
"CHS(cf)508.0/6.0";"{afaa091e-3117-44fe-bc4e-15ce738f5c0b}";508;6;3
"CHS(cf)508.0/6.3";"{042f9d6c-9f07-4134-a922-6a8492766e2a}";508;6,30000019073486;3
"CHS(cf)508.0/8.0";"{28fa5174-9b67-4456-8ebe-86133641d585}";508;8;3
"CHS(cf)508.0/10.0";"{1e776bde-2b04-48f5-b8ce-d2e01e0413c2}";508;10;3
"CHS(cf)508.0/12.0";"{48de9293-7993-43a8-a692-a403062d45d8}";508;12;3
"CHS(cf)508.0/12.5";"{822da74b-63cb-4462-ba63-d396fc228c33}";508;12,5;3
"CHS(cf)508.0/16.0";"{f2837c1d-360b-4565-8cbf-1fedea4b1344}";508;16;3
"CHS(cf)508.0/20.0";"{8b644325-5d0d-4e5c-9472-2789e4ba8af6}";508;20;3
"CHS(cf)508.0/25.0";"{fa6e0ed6-5080-43c9-8060-0f146f8aa487}";508;25;3
"CHS(cf)508.0/30.0";"{34857b0a-657b-4d18-9900-e79e337adc38}";508;30;3
"CHS(cf)610.0/6.0";"{b93dd759-218c-464d-8a06-0891d64aed36}";610;6;3
"CHS(cf)610.0/6.3";"{08eb004c-629e-4a35-945f-076e3a0c1971}";610;6,30000019073486;3
"CHS(cf)610.0/8.0";"{4bac2360-3340-4bee-9faa-934873a17cec}";610;8;3
"CHS(cf)610.0/10.0";"{316c19ae-0287-4799-ad90-968f0969b47f}";610;10;3
"CHS(cf)610.0/12.0";"{f25901ee-92d5-47fb-bc78-1747ffe2f33c}";610;12;3
"CHS(cf)610.0/12.5";"{be335389-91e6-428d-b2e3-2d485a98da15}";610;12,5;3
"CHS(cf)610.0/16.0";"{ec36360d-1266-487f-a973-2ef1a7890caa}";610;16;3
"CHS(cf)610.0/20.0";"{bf914aa4-555f-47c0-8b55-959c77033259}";610;20;3
"CHS(cf)610.0/25.0";"{d1539093-b5e4-4aa8-9363-52a0778ab744}";610;25;3
"CHS(cf)610.0/30.0";"{e77f09b7-61cf-4b87-9cb1-070bd1da3c6b}";610;30;3
"CHS(cf)711.0/6.0";"{6b1fb133-d978-4b91-b294-ead0f057cfbf}";711;6;3
"CHS(cf)711.0/6.3";"{50048f33-4dd6-4a3b-bcee-53f7d96387b5}";711;6,30000019073486;3
"CHS(cf)711.0/8.0";"{170df729-188e-47f4-a457-c25a92273643}";711;8;3
"CHS(cf)711.0/10.0";"{723540da-0920-403d-9d87-46fc4d44427d}";711;10;3
"CHS(cf)711.0/12.0";"{fe81818b-9e08-4973-9a96-1311e64e56e7}";711;12;3
"CHS(cf)711.0/12.5";"{928db63a-b675-41bc-80a5-41b8562848cd}";711;12,5;3
"CHS(cf)711.0/16.0";"{676b2a65-565e-4f3c-956a-3df8192374d4}";711;16;3
"CHS(cf)711.0/20.0";"{ce676265-66ed-451c-ac2f-5159927c5a4d}";711;20;3
"CHS(cf)711.0/25.0";"{e3e533b7-8003-4058-bab3-afe5a7091454}";711;25;3
"CHS(cf)711.0/30.0";"{79debc23-f471-4538-953d-69d7a658438c}";711;30;3
"CHS(cf)762.0/6.0";"{11a63409-2237-428c-a6b2-a9456303f769}";762;6;3
"CHS(cf)762.0/6.3";"{1537d984-6a73-4837-95bf-b62a815bd6ca}";762;6,30000019073486;3
"CHS(cf)762.0/8.0";"{1beda4df-68f4-4a71-b7d4-27428996aacf}";762;8;3
"CHS(cf)762.0/10.0";"{22127234-77ef-451e-9b34-8680540d4943}";762;10;3
"CHS(cf)762.0/12.0";"{de88734b-239d-48ba-96ca-ef5803fe1897}";762;12;3
"CHS(cf)762.0/12.5";"{9d64ab85-2b66-41ba-b4b1-b34d209f469d}";762;12,5;3
"CHS(cf)762.0/16.0";"{98b09c83-8012-4c35-9ff4-1fed0528c16d}";762;16;3
"CHS(cf)762.0/20.0";"{14f6fa0c-1378-4552-b628-45cd231434f8}";762;20;3
"CHS(cf)762.0/25.0";"{3d4b8151-f641-45f4-8d91-11756331404f}";762;25;3
"CHS(cf)762.0/30.0";"{11802b10-3abd-40c2-b383-9790424475d7}";762;30;3
"CHS(cf)813.0/8.0";"{a4d3fc1d-e23f-4e56-9ca8-225b6368c7fc}";813;8;3
"CHS(cf)813.0/10.0";"{61f09173-7773-4691-865b-649504582019}";813;10;3
"CHS(cf)813.0/12.0";"{de30d10b-129d-4c53-9cea-eae3a1b5e103}";813;12;3
"CHS(cf)813.0/12.5";"{976aec8c-8087-4d81-9074-04433c51acbb}";813;12,5;3
"CHS(cf)813.0/16.0";"{4ec2b9a5-9cfd-4207-ac9f-953b7faf55a9}";813;16;3
"CHS(cf)813.0/20.0";"{70f5a4e7-3424-4dfc-9050-7341f039fb76}";813;20;3
