"MPRL table v3.0"
"TableName";;"SHS"
"TableID";"78518acd-9921-499a-9bca-a1c00df46fef"
"TableType";"CrossSection"
"Group";"#LNG006"
"TableParam1";"SquareHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"B";"D";"t";"r1";"Fabrication";"A";"ry";"rz";"Iy";"Iz";"Wely";"Welz";"Iyz";"It";"y0";"z0";"Wply";"Wplz";"Iw";"Avy";"Avz"
"Unit";;"mm";"mm";"mm";"mm";;"m2";"m";"m";"m4";"m4";"m3";"m3";"m4";"m4";"m";"m";"m3";"m3";"m6";"m2";"m2"
"UnitCoeff";;0,001;0,001;0,001;0,001;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Data"
"SHS160/160/8.0";"{66b79515-5b4d-4379-b29b-5cec94c239b3}";160;160;8;12;1;0,0048;0,0617623132122926;0,0617623132122926;1,831E-05;1,831E-05;0,000229;0,000229;-9,3173624197973E-20;2,88E-05;0;0;0,00026892303125;0,00026892303125;6,99050666666667E-08;0,0024;0,0024
"SHS160/160/10.0";"{8340a369-57b3-49db-b1ef-c11eba63810c}";160;160;10;15;1;0,00589;0,0609210572152528;0,0609210572152528;2,186E-05;2,186E-05;0,000273;0,000273;-1,60936259978317E-20;3,478E-05;0;0;0,00032467396875;0,00032467396875;8,73813333333333E-08;0,002945;0,002945
"SHS160/160/12.5";"{ed00bcc6-3a1f-4400-9f54-e9eed25e1021}";160;160;12,5;18,75;1;0,00721;0,0597730335015765;0,0597730335015765;2,576E-05;2,576E-05;0,000322;0,000322;5,6327690992411E-19;4,158E-05;0;0;0,00038824390625;0,00038824390625;1,09226666666667E-07;0,003605;0,003605
"SHS160/160/16.0";"{ee6d9cad-3444-4342-8c2a-310ffb326af0}";160;160;16;24;1;0,00894;0,0581981495281518;0,0581981495281518;3,028E-05;3,028E-05;0,000379;0,000379;-5,46336250979024E-20;4,988E-05;0;0;0,000466224875;0,000466224875;1,39810133333333E-07;0,00447;0,00447
"SHS180/180/5.0";"{b4159221-96ee-4b21-9b7b-f0baac3a6f75}";180;180;5;7,5;1;0,00347;0,0713193895894525;0,0713193895894525;1,765E-05;1,765E-05;0,000196;0,000196;1,35525271560688E-20;2,718E-05;0;0;0,00022593821875;0,00022593821875;7,8732E-08;0,001735;0,001735
"SHS180/180/6.3";"{a87ba5e9-d067-4579-8427-99e289f5aa06}";180;180;6,30000019073486;9,44999980926514;1;0,00433;0,0707596523907976;0,0707596523907976;2,168E-05;2,168E-05;0,000241;0,000241;-1,33831205666179E-19;3,361E-05;0;0;0,000279217;0,000279217;9,92023230033874E-08;0,002165;0,002165
"SHS180/180/8.0";"{4069c437-f35e-4c52-8f72-b947f4651683}";180;180;8;12;1;0,00544;0,0699395747602676;0,0699395747602676;2,661E-05;2,661E-05;0,000296;0,000296;-6,57297567069337E-19;4,162E-05;0;0;0,00034558428125;0,00034558428125;1,259712E-07;0,00272;0,00272
"SHS180/180/10.0";"{e7d24116-cc02-4ace-b714-c5b0fd5e6f79}";180;180;10;15;1;0,00669;0,0690854197116975;0,0690854197116975;3,193E-05;3,193E-05;0,000355;0,000355;1,6940658945086E-21;5,048E-05;0;0;0,000418957125;0,000418957125;1,57464E-07;0,003345;0,003345
"SHS180/180/12.5";"{31610f11-b750-44a7-95d5-d2e2d8942426}";180;180;12,5;18,75;1;0,00821;0,0679435174175896;0,0679435174175896;3,79E-05;3,79E-05;0,000421;0,000421;-4,25041132932208E-18;6,07E-05;0;0;0,000503686375;0,000503686375;1,9683E-07;0,004105;0,004105
"SHS180/180/16.0";"{95e9f2c0-1299-40ad-af06-3cdebacb1977}";180;180;16;24;1;0,0102;0,0664506303544955;0,0664506303544955;4,504E-05;4,504E-05;0,0005;0,0005;3,16790322273108E-19;7,343E-05;0;0;0,0006096698125;0,0006096698125;2,519424E-07;0,0051;0,0051
"SHS200/200/5.0";"{81af3617-2cd7-42c2-a43b-1a3dc3629ed7}";200;200;5;7,5;1;0,00387;0,0794847750035461;0,0794847750035461;2,445E-05;2,445E-05;0,000245;0,000245;-6,7762635780344E-20;3,756E-05;0;0;0,000281009;0,000281009;1,33333333333333E-07;0,001935;0,001935
"SHS200/200/6.3";"{cc95af5f-ec19-4958-bcab-b240a9509e5d}";200;200;6,30000019073486;9,44999980926514;1;0,00484;0,0788737876620953;0,0788737876620953;3,011E-05;3,011E-05;0,000301;0,000301;-3,48977574268772E-19;4,653E-05;0;0;0,0003479741875;0,0003479741875;1,68000005086263E-07;0,00242;0,00242
"SHS200/200/8.0";"{6439223f-6eb3-45ad-9bcc-de5d0f64f4be}";200;200;8;12;1;0,00608;0,0781046026004129;0,0781046026004129;3,709E-05;3,709E-05;0,000371;0,000371;2,20228566286118E-19;5,778E-05;0;0;0,0004318455;0,0004318455;2,13333333333333E-07;0,00304;0,00304
"SHS200/200/10.0";"{1b102e17-3b3c-4f83-8cd7-b5cb915176a1}";200;200;10;15;1;0,00749;0,0772611958867654;0,0772611958867654;4,471E-05;4,471E-05;0,000447;0,000447;2,98155597433514E-19;7,031E-05;0;0;0,0005252403125;0,0005252403125;2,66666666666667E-07;0,003745;0,003745
"SHS200/200/12.5";"{c426d148-f3d0-4441-a875-e53e7dc39d72}";200;200;12,5;18,75;1;0,00921;0,0761163746987832;0,0761163746987832;5,336E-05;5,336E-05;0,000534;0,000534;-2,67662411332359E-19;8,491E-05;0;0;0,0006341288125;0,0006341288125;3,33333333333334E-07;0,004605;0,004605
"SHS200/200/16.0";"{1364d598-a54f-42e6-bbc1-67a90c75f6fc}";200;200;16;24;1;0,0115;0,074565407529229;0,074565407529229;6,394E-05;6,394E-05;0,000639;0,000639;-1,18584612615602E-19;0,0001034;0;0;0,00077231475;0,00077231475;4,26666666666667E-07;0,00575;0,00575
"SHS250/250/6.3";"{992e5415-fba4-49e9-b4d2-de72fbc680a0}";250;250;6,30000019073486;9,44999980926514;1;0,0061;0,0992925797501637;0,0992925797501637;6,014E-05;6,014E-05;0,000481;0,000481;-4,06575814682064E-20;9,238E-05;0;0;0,0005529421875;0,0005529421875;5,12695328022043E-07;0,00305;0,00305
"SHS250/250/8.0";"{6cccf522-0744-4fab-978d-35d077107580}";250;250;8;12;1;0,00768;0,0985242673152153;0,0985242673152153;7,455E-05;7,455E-05;0,000596;0,000596;-4,60785923306339E-19;0,0001153;0;0;0,0006894985625;0,0006894985625;6,51041666666667E-07;0,00384;0,00384
"SHS250/250/10.0";"{09cb10dd-e11a-446a-8f3d-b85ca74c9ee1}";250;250;10;15;1;0,00949;0,0976812303403312;0,0976812303403312;9,055E-05;9,055E-05;0,000724;0,000724;-4,20128341838133E-19;0,0001411;0;0;0,00084344825;0,00084344825;8,13802083333333E-07;0,004745;0,004745
"SHS250/250/12.5";"{7e61c45d-51d3-42a4-a4b2-8bb3df9b4313}";250;250;12,5;18,75;1;0,0117;0,0966091783079296;0,0966091783079296;0,0001092;0,0001092;0,000873;0,000873;3,34069794397096E-18;0,0001716;0;0;0,00102586;0,00102586;1,01725260416667E-06;0,00585;0,00585
"SHS250/250/16.0";"{207eac54-ac9d-4da6-b27b-0a788a2c6a89}";250;250;16;24;1;0,0147;0,0950116355208863;0,0950116355208863;0,0001327;0,0001327;0,001061;0,001061;2,87991202066462E-19;0,0002114;0;0;0,001262927;0,001262927;1,30208333333333E-06;0,00735;0,00735
"SHS260/260/6.3";"{afb79e14-9721-43b4-9aff-adbab6a63c2e}";260;260;6,30000019073486;9,44999980926514;1;0,00635;0,103391313849508;0,103391313849508;6,788E-05;6,788E-05;0,000522;0,000522;3,79470760369927E-19;0,0001042;0;0;0,00059960575;0,00059960575;6,23772258884939E-07;0,003175;0,003175
"SHS260/260/8.0";"{d7c90fba-09fb-4d21-a743-1f52eae55475}";260;260;8;12;1;0,008;0,102609697397468;0,102609697397468;8,423E-05;8,423E-05;0,000648;0,000648;-1,73472347597681E-18;0,0001301;0;0;0,0007482291875;0,0007482291875;7,92091733333334E-07;0,004;0,004
